,baseMean,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos
PYROXD1,451.633279305411,1.35249510517805,0.435623372796543,0.10746623410216,4.05358368082787,5.04389458198869e-05,0.69136663035319,0.000127656872262561,0.879938820505834
ZNF577,102.004556941506,1.66337077627004,0.734109790671704,0.181102716929981,4.05355481748808,5.04451723820988e-05,0.691401532669046,0.000127656872262561,0.880066477378096
SPOPL,622.681639302636,1.26360329114793,0.337543599807909,0.0832962512487844,4.05232642222702,5.07108450536482e-05,0.694992131460249,0.000128310573285852,0.884701402805946
MED27,368.855964800526,0.780563380725394,-0.357412312977903,0.0882412267407841,-4.05040054608297,5.11300372641169e-05,0.700686030667458,0.000129352469563484,0.892014630109784
SLC35C2,1511.95336896985,1.16733691815065,0.223221013481694,0.0551190389961925,4.04979871831789,5.12617050456155e-05,0.70243914424007,0.000129666769062753,0.894311706225809
PHLDB3,255.637513175525,1.40521290022659,0.490788726056288,0.121216413684706,4.04886360796706,5.14669260764596e-05,0.705199821099649,0.000130167003817036,0.897891992329914
AXL,22.4381118145742,3.16312742779301,1.66135167654515,0.410359892606353,4.04852351918036,5.1541755482418e-05,0.706173591864609,0.000130337362827405,0.899197466146265
LHFPL2,1226.7586742213,1.18600306363494,0.246107736599954,0.060793968450382,4.04822621179631,5.16072561951495e-05,0.707019409873548,0.000130484085736316,0.900340191580578
PCDHGA6,18.321430776179,0.254708245154771,-1.97308243307122,0.487399860274705,-4.04818013685758,5.16174141652729e-05,0.707106956650074,0.000130490857488386,0.900517407527352
HDAC8,472.827244441385,0.783538474941244,-0.35192397622769,0.0869424795353814,-4.04777938366105,5.17058466810356e-05,0.708266687836826,0.000130695479744617,0.902060201197348
RAC2,255.270453357512,0.708353020094661,-0.497459563096807,0.122911347927565,-4.04730378020077,5.18109824006221e-05,0.709655025941321,0.000130942256839237,0.903894398961254
APOBEC3C,382.835939363532,0.772780013130672,-0.371870313511486,0.0918989059917278,-4.04651512984235,5.19857661223378e-05,0.711997052811538,0.000131364958831157,0.906943675770305
NPAT,817.862870357794,1.24241406468022,0.31314606688031,0.0774114350464726,4.04521717873229,5.22746401685675e-05,0.715901197108532,0.000132075796144943,0.911983372380829
NUDT9,485.163412885509,0.780047720877063,-0.358365708647436,0.0886085924696236,-4.04436746662339,5.24645766139732e-05,0.718449912151749,0.000132536490531042,0.915297003607376
NAGS,25.9846604111549,2.64481082155818,1.40316453271336,0.347025301929806,4.04340699341049,5.2680058886704e-05,0.721348046335637,0.00013306157627587,0.919056307337437
SCARF2,10.0474734902498,0.153780241329465,-2.70105794638097,0.668346532299205,-4.04140339755928,5.31322683021049e-05,0.727487017592421,0.000134184359119647,0.926945552798523
GRID2IP,26.1682747401469,0.332385115725813,-1.58907231551479,0.393363939402304,-4.0397000241794,5.35196082090353e-05,0.732736955989903,0.000135143014157596,0.93370308481483
SPINK1,10.3027548633653,5.55178745282831,2.47295233617621,0.612219840811435,4.03932079838929,5.36062059402391e-05,0.733868959321873,0.000135342093897744,0.935213868833411
